Model,Trial,Best_Score_So_Far
CB,37,0.9940416666666667
CB,38,0.9940416666666667
CB,39,0.9942083333333332
CB,40,0.9942083333333332
CB,41,0.9942083333333332
CB,42,0.9942083333333332
CB,43,0.995125
CB,44,0.995125
CB,45,0.995125
CB,46,0.995125
CB,47,0.995125
CB,48,0.995125
CB,49,0.995125
CB,50,0.995125
GB,1,0.9869791666666667
GB,2,0.9869791666666667
GB,3,0.9906874999999999
GB,4,0.9906874999999999
GB,5,0.9906874999999999
GB,6,0.9949583333333333
GB,7,0.9949583333333333
GB,8,0.9949583333333333
GB,9,0.9951874999999999
GB,10,0.9951874999999999
GB,11,0.9951874999999999
GB,12,0.9951874999999999
GB,13,0.9951874999999999
GB,14,0.9951874999999999
GB,15,0.9951874999999999
GB,16,0.9951874999999999
GB,17,0.9951874999999999
GB,18,0.9951874999999999
GB,19,0.9951874999999999
GB,20,0.9951874999999999
GB,21,0.9951874999999999
GB,22,0.9951874999999999
GB,23,0.9951874999999999
GB,24,0.9951874999999999
GB,25,0.9951874999999999
GB,26,0.9951874999999999
GB,27,0.9951874999999999
GB,28,0.9951874999999999
GB,29,0.9951874999999999
GB,30,0.9951874999999999
GB,31,0.9951874999999999
GB,32,0.9951874999999999
GB,33,0.9957708333333333
GB,34,0.9957708333333333
GB,35,0.9957708333333333
GB,36,0.9957708333333333
GB,37,0.9957708333333333
GB,38,0.9957708333333333
GB,39,0.9957708333333333
GB,40,0.9957708333333333
GB,41,0.9957708333333333
GB,42,0.9957708333333333
GB,43,0.9957708333333333
GB,44,0.9957708333333333
GB,45,0.9957708333333333
GB,46,0.9957708333333333
GB,47,0.9957708333333333
GB,48,0.9961874999999999
GB,49,0.9961874999999999
GB,50,0.9961874999999999
KNN,1,0.9407291666666666
KNN,2,0.9407291666666666
KNN,3,0.9407291666666666
KNN,4,0.9407291666666666
KNN,5,0.945875
KNN,6,0.945875
KNN,7,0.945875
KNN,8,0.945875
KNN,9,0.9481041666666666
KNN,10,0.9481041666666666
KNN,11,0.9481041666666666
KNN,12,0.9481041666666666
KNN,13,0.9481041666666666
KNN,14,0.9481041666666666
KNN,15,0.9481041666666666
KNN,16,0.9481041666666666
KNN,17,0.9481041666666666
KNN,18,0.9481041666666666
KNN,19,0.9481041666666666
KNN,20,0.9481041666666666
KNN,21,0.9481041666666666
KNN,22,0.9481041666666666
KNN,23,0.9481041666666666
KNN,24,0.9481041666666666
KNN,25,0.9481041666666666
KNN,26,0.9481041666666666
KNN,27,0.9481041666666666
KNN,28,0.9481041666666666
KNN,29,0.9481041666666666
KNN,30,0.9481041666666666
KNN,31,0.9481041666666666
KNN,32,0.9481041666666666
KNN,33,0.9481041666666666
KNN,34,0.9481041666666666
KNN,35,0.9481041666666666
KNN,36,0.9481041666666666
KNN,37,0.9481041666666666
KNN,38,0.9481041666666666
KNN,39,0.9481041666666666
KNN,40,0.9481041666666666
KNN,41,0.9482083333333333
KNN,42,0.9482083333333333
KNN,43,0.9482083333333333
KNN,44,0.9482083333333333
KNN,45,0.9482083333333333
KNN,46,0.9482083333333333
KNN,47,0.9482083333333333
KNN,48,0.9482083333333333
KNN,49,0.9482083333333333
KNN,50,0.9482083333333333
LDA,1,0.8953125
LDA,2,0.8953125
LDA,3,0.8953125
LDA,4,0.8953125
LDA,5,0.8953125
LDA,6,0.8953125
LDA,7,0.8953125
LDA,8,0.8953125
LDA,9,0.8953125
LDA,10,0.8953125
LDA,11,0.8953125
LDA,12,0.8953125
LDA,13,0.8953125
LDA,14,0.8953125
LDA,15,0.8953125
LDA,16,0.8953125
LDA,17,0.8953125
LDA,18,0.8953125
LDA,19,0.8953125
LDA,20,0.8953125
LDA,21,0.8953125
LDA,22,0.8953125
LDA,23,0.8953125
LDA,24,0.8953125
LDA,25,0.8953125
LDA,26,0.8953125
LDA,27,0.8953125
LDA,28,0.8953125
LDA,29,0.8953125
LDA,30,0.8953125
LDA,31,0.8953125
LDA,32,0.8953125
LDA,33,0.8953125
LDA,34,0.8953125
LDA,35,0.8953125
LDA,36,0.8953125
LDA,37,0.8953125
LDA,38,0.8953125
LDA,39,0.8953125
LDA,40,0.8953125
LDA,41,0.8953125
LDA,42,0.8953125
LDA,43,0.8953125
LDA,44,0.8953125
LDA,45,0.8953125
LDA,46,0.8953125
LDA,47,0.8953125
LDA,48,0.8953125
LDA,49,0.8953125
LDA,50,0.8953125
LGBM,1,0.9909791666666667
LGBM,2,0.9909791666666667
LGBM,3,0.9909791666666667
LGBM,4,0.9909791666666667
LGBM,5,0.9909791666666667
LGBM,6,0.9909791666666667
LGBM,7,0.9909791666666667
LGBM,8,0.9909791666666667
LGBM,9,0.9970833333333333
LGBM,10,0.9970833333333333
LGBM,11,0.9970833333333333
LGBM,12,0.9970833333333333
